"first_name","last_name","full_name","title","company_name","company_domain","linkedin_url","email (if found)","seniority","source (blitz/clay/both)"
"Lesley","DeCanio","Lesley DeCanio","Chief Revenue Officer (CRO)","Archie Labs","8base.com","https://www.linkedin.com/in/ldecanio","","CXO","blitz"
"Aravind","Upadhyaya","Aravind Upadhyaya","Founder and CEO","8chili Inc","8chili.com","https://www.linkedin.com/in/aravindupadhyaya","","CXO","blitz"
"Boaz","Hecht","Boaz Hecht","Co-founder & CEO","8Flow","8flow.ai","https://www.linkedin.com/in/boazhecht","","CXO","blitz"
"Josh","Russ","Josh Russ","Co-founder & COO","8Flow","8flow.ai","https://www.linkedin.com/in/josh-russ-4568307a","","CXO","blitz"
"Paul","Pagel","Paul Pagel","Founder, Chairman of the Board","8th Light","8thlight.com","https://www.linkedin.com/in/paul-pagel-2823b34","","CXO","blitz"
"Drew","Oetting","Drew Oetting","Founder","8VC","8vc.com","https://www.linkedin.com/in/drew-oetting-52463337","","CXO","blitz"
"Jake","Medwell","Jake Medwell","Co-Founder and Partner","8VC","8vc.com","https://www.linkedin.com/in/jakemedwellaustin","","CXO","blitz"
"Steve","Deitz","Steve Deitz","CEO / Founder","900lbs","900lbs.com","https://www.linkedin.com/in/steve-deitz-2a46b3a","","CXO","blitz"
"Chad","Salahshour","Chad Salahshour","Founder / President / CEO","911Cellular Technologies","911cellular.com","https://www.linkedin.com/in/chad-salahshour-5b846a11","","CXO","blitz"
"Stephen","Messer","Stephen Messer","Board Member and Co-Founder","960 Media, Inc","960vets.com","https://www.linkedin.com/in/stephenmesser","","CXO","blitz"
"Tom","Hessen","Tom Hessen","CEO","9Lenses","9lenses.com","https://www.linkedin.com/in/tomhessen","","CXO","blitz"
"Marcus","Bush","Marcus Bush","VP of Sales","9Lenses","9lenses.com","https://www.linkedin.com/in/marcus-bush-2760922","","VP","blitz"
"Kobi","Masri","Kobi Masri","Co-Founder & COO","A.Team","a.team","https://www.linkedin.com/in/kobi-masri-0980b639","","CXO","blitz"
"Raphael","Ouzan","Raphael Ouzan","Founder & CEO","A.Team","a.team","https://www.linkedin.com/in/raphaelouzan","","CXO","blitz"
"Sekou","White","Sekou White","VP, Head of Marketing & Partnerships","A.Team","a.team","https://www.linkedin.com/in/sekouwhite","","VP","blitz"
"Dariana","Lago","Dariana Lago","Co-Founder","a11ySolutions","a11ysolutions.com","https://www.linkedin.com/in/dariana-lago","","CXO","blitz"
"Felipe","Pérez","Felipe Pérez","Co-Founder/CEO","a11ySolutions","a11ysolutions.com","https://www.linkedin.com/in/felipe-p%c3%a9rez","","CXO","blitz"
"Chris","Garner","Chris Garner","Co-Founder","hosting.com","a2hosting.com","https://www.linkedin.com/in/chriswgarner","","CXO","blitz"
"Seb","de Lemos","Seb de Lemos","CEO","hosting.com","a2hosting.com","https://www.linkedin.com/in/sebdelemos","","CXO","blitz"
"Emre","Varol","Emre Varol","Founder & CEO | A2SV - Africa to Silicon Valley","A2SV | Africa to Silicon Valley","a2sv.org","https://www.linkedin.com/in/emre-varol","","CXO","blitz"
"Aaron","Wallace","Aaron Wallace","Founder","A2Z","a2zsync.com","https://www.linkedin.com/in/aaron-wallace-b48613a","","CXO","blitz"
"Rob","Lautt","Rob Lautt","CEO, Founder","A3 Solutions","a3solutions.com","https://www.linkedin.com/in/roblautt","","CXO","blitz"
"Natalie","MacLees","Natalie MacLees","Founder","AAArdvark","aaardvarkaccessibility.com","https://www.linkedin.com/in/nataliemac","","CXO","blitz"
"Michael","Bethuy","Michael Bethuy","CEO","aACE Software","aacesoft.com","https://www.linkedin.com/in/michaelbethuy","","CXO","blitz"
"Scott","Zielski","Scott Zielski","Chairman and CEO","Aaniie, Inc.","aaniie.com","https://www.linkedin.com/in/scottzielski","","CXO","blitz"
"Raj","Darji","Raj Darji","Founder and Executive","abluva","aaravsolutions.com","https://www.linkedin.com/in/rajdarjiofficial","","CXO","blitz"
"Lee","Burke","Lee Burke","Chief Revenue Officer","Aareon UK","aareon.co.uk","https://www.linkedin.com/in/lee-burke-4226852b","","CXO","blitz"
"Cameron","Fink","Cameron Fink","Co-Founder and CEO","Aaru","aaru.com","https://www.linkedin.com/in/cameron-fink","","CXO","blitz"
"John","Kessler","John Kessler","Co-Founder, CTO","Aaru","aaru.com","https://www.linkedin.com/in/johncolekessler","","CXO","blitz"
"Ray","Karadayi","Ray Karadayi","President & CEO","Applied Automation Technologies","aat3d.com","https://www.linkedin.com/in/raykaat","","CXO","blitz"
"Jesal","Mehta","Jesal Mehta","Founder, and CEO","Aavenir","aavenir.com","https://www.linkedin.com/in/jesal-mehta-872977","","CXO","blitz"
"Jorge","Lluch","Jorge Lluch","Co-Founder, COO and CFO","Abacum","abacum.io","https://www.linkedin.com/in/jorgelluch","","CXO","blitz"
"Julio","Martínez","Julio Martínez","Co-Founder and CEO","Abacum","abacum.io","https://www.linkedin.com/in/thejuliomartinez","","CXO","blitz"
"Bindu","Reddy","Bindu Reddy","CEO and Co-Founder","Abacus.AI","abacus.ai","https://www.linkedin.com/in/bindureddy","","CXO","blitz"
"Fabian","Divito","Fabian Divito","VP of Sales","Abacus.AI","abacus.ai","https://www.linkedin.com/in/fabiandivito","","VP","blitz"
"Minalkumar","Patel","Minalkumar Patel","CEO and Founder","Abacus Insights","abacusinsights.com","https://www.linkedin.com/in/minalkumar-patel-a657576","","CXO","blitz"
"Jonathan","Kaplan","Jonathan Kaplan","VP - Strategic Accounts and Marketing","Abacus Insights","abacusinsights.com","https://www.linkedin.com/in/kaplanjonathan1","","VP","blitz"
"Maria Eugenia","Filmanovic","Maria Eugenia Filmanovic","Co-founder","Abatable","abatable.com","https://www.linkedin.com/in/mariafilmanovic","","CXO","blitz"
"Valerio","Magliulo","Valerio Magliulo","Co-Founder and CEO","Abatable","abatable.com","https://www.linkedin.com/in/valerio-magliulo","","CXO","blitz"
"June","O.","June O.","Co-Founder & CEO","ABC-Plan","abc-plan.com","https://www.linkedin.com/in/june-o-1169816","","CXO","blitz"
"Michael","Osofsky","Michael Osofsky","CTO, co-founder","ABC-Plan","abc-plan.com","https://www.linkedin.com/in/mosofsky","","CXO","blitz"
"Terri","Roeslmeier","Terri Roeslmeier","President and CEO","Automated Business Designs","abd.net","https://www.linkedin.com/in/terri-roeslmeier-8457542","","CXO","blitz"
"Mike","Hanlon","Mike Hanlon","Founder and CEO","Abett","abett.com","https://www.linkedin.com/in/seattle-hanlon","","CXO","blitz"
"Asheque","Shams","Asheque Shams","Founder and Group CEO","Abingdon Software Group","abingdon.software","https://www.linkedin.com/in/ashequeshams","","CXO","blitz"
"Russell","Schulte","Russell Schulte","CEO","ABIS, Inc.","abiscorp.com","https://www.linkedin.com/in/rjschulte","","CXO","blitz"
"Neeraj","Datta","Neeraj Datta","Cofounder and CEO","Abjayon Inc.","abjayon.com","https://www.linkedin.com/in/neerajdatta","","CXO","blitz"
"Christopher","Suarez","Christopher Suarez","Ceo & Co-Founder","A BLUE WORLD","ablue.world","https://www.linkedin.com/in/christopher-suarez-70076b1b7","","CXO","blitz"
"Sally","White","Sally White","Founder & Director","Ablyss Systems Ltd","ablyss.co.uk","https://www.linkedin.com/in/sallywhiteuk","","CXO","blitz"
"Paul","Ford","Paul Ford","Co-Founder","Aboard","aboard.com","https://www.linkedin.com/in/ftrain","","CXO","blitz"
"Rich","Ziade","Rich Ziade","Co-Founder","Aboard","aboard.com","https://www.linkedin.com/in/rich-ziade-a600221","","CXO","blitz"
"Ben","S.","Ben S.","Co-Founder & CEO (acq. by 10KC)","Abode","abodehr.com","https://www.linkedin.com/in/benabode","","CXO","blitz"
"Gavin","White","Gavin White","Founder / CEO","About:Energy","aboutenergy.io","https://www.linkedin.com/in/gavinwhite-eng","","CXO","blitz"
